Source,Target,type,weight
0,1,directed,1
0,2,directed,1
3,4,directed,1
5,4,directed,1
5,6,directed,1
5,7,directed,1
8,4,directed,1
8,7,directed,1
9,10,directed,1
11,4,directed,1
12,13,directed,1
12,14,directed,1
15,4,directed,1
15,16,directed,1
15,2,directed,1
17,18,directed,1
17,19,directed,1
17,14,directed,1
17,20,directed,1
21,1,directed,1
21,2,directed,1
22,23,directed,1
22,24,directed,1
25,26,directed,1
25,27,directed,1
28,19,directed,1
28,29,directed,1
28,30,directed,1
28,10,directed,1
28,31,directed,1
28,32,directed,1
28,33,directed,1
28,34,directed,1
28,35,directed,1
28,36,directed,1
28,37,directed,1
38,27,directed,1
39,10,directed,1
39,40,directed,1
39,41,directed,1
39,42,directed,1
39,43,directed,1
44,26,directed,1
44,27,directed,1
44,45,directed,1
44,46,directed,1
44,47,directed,1
44,7,directed,1
44,48,directed,1
49,4,directed,1
49,2,directed,1
49,7,directed,1
49,50,directed,1
51,52,directed,1
51,53,directed,1
51,6,directed,1
51,54,directed,1
51,4,directed,1
51,7,directed,1
51,55,directed,1
18,14,directed,1
56,27,directed,1
57,47,directed,1
57,26,directed,1
57,27,directed,1
57,7,directed,1
58,59,directed,1
58,60,directed,1
58,61,directed,1
58,62,directed,1
58,63,directed,1
58,64,directed,1
58,65,directed,1
58,66,directed,1
58,67,directed,1
58,68,directed,1
58,33,directed,1
58,69,directed,1
58,70,directed,1
58,71,directed,1
58,72,directed,1
58,73,directed,1
74,26,directed,1
74,75,directed,1
74,76,directed,1
10,77,directed,1
10,54,directed,1
10,78,directed,1
10,41,directed,1
79,4,directed,1
79,7,directed,1
79,50,directed,1
79,77,directed,1
79,6,directed,1
78,10,directed,1
78,41,directed,1
78,42,directed,1
78,80,directed,1
78,43,directed,1
81,7,directed,1
81,26,directed,1
81,82,directed,1
83,26,directed,1
83,27,directed,1
83,47,directed,1
83,50,directed,1
84,29,directed,1
84,10,directed,1
84,31,directed,1
84,85,directed,1
84,33,directed,1
84,34,directed,1
84,35,directed,1
84,36,directed,1
84,37,directed,1
84,80,directed,1
84,86,directed,1
84,87,directed,1
88,10,directed,1
88,89,directed,1
90,91,directed,1
90,1,directed,1
92,93,directed,1
92,94,directed,1
95,47,directed,1
95,26,directed,1
95,46,directed,1
96,4,directed,1
97,84,directed,1
97,10,directed,1
97,31,directed,1
97,33,directed,1
97,34,directed,1
97,35,directed,1
97,36,directed,1
97,98,directed,1
99,4,directed,1
99,7,directed,1
100,50,directed,1
100,7,directed,1
100,77,directed,1
101,102,directed,1
101,53,directed,1
103,4,directed,1
104,26,directed,1
105,26,directed,1
105,24,directed,1
105,23,directed,1
106,57,directed,1
106,26,directed,1
106,45,directed,1
106,27,directed,1
107,4,directed,1
94,7,directed,1
94,26,directed,1
94,108,directed,1
94,46,directed,1
109,1,directed,1
109,2,directed,1
109,77,directed,1
110,27,directed,1
110,55,directed,1
29,111,directed,1
29,31,directed,1
29,10,directed,1
29,35,directed,1
29,112,directed,1
29,113,directed,1
29,36,directed,1
29,37,directed,1
114,115,directed,1
116,4,directed,1
1,4,directed,1
1,117,directed,1
1,2,directed,1
23,47,directed,1
23,26,directed,1
23,45,directed,1
118,4,directed,1
119,7,directed,1
119,120,directed,1
119,77,directed,1
119,4,directed,1
119,6,directed,1
119,121,directed,1
